presentations
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),講演者(日本語),講演者(英語),会議名(日本語),会議名(英語),発表年月日,開催年月日(From),開催年月日(To),招待の有無,記述言語,会議種別,主催者(日本語),主催者(英語),開催地(日本語),開催地(英語),国・地域,概要(日本語),概要(英語),国際・国内会議,国際共著,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,49864254,"High Spatiotemporal Atomic-resolution STEM Imaging","High Spatiotemporal Atomic-resolution STEM Imaging",null,"[R. Ishikawa,Y. Jimbo,T. Futazuka,K. Kawahara,N. Shibata,Y. Ikuhara]","The 13th Asia Pacific Microscopy Congress",null,2025-02-04,null,null,true,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,49864261,原子分解能・高速電子顕微鏡法による表面構造解析,null,[石川亮],null,"Surtech 2025",null,2025-01-29,null,null,true,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,49864273,"High spatiotemporal resolution STEM imaging","High spatiotemporal resolution STEM imaging",null,"[Ryo Ishikawa]","The 8th International Conference on Electronic Materials and Nanotechnology for Green Environment","The 8th International Conference on Electronic Materials and Nanotechnology for Green Environment",2024-11-25,null,null,true,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,49864216,高速原子分解能電子顕微鏡法の開発と応用,null,[石川亮],null,日本顕微鏡学会第67回シンポジウム,null,2024-11-03,null,null,true,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,47878253,高速原子分解能STEM法の開発とその場観察への応用,null,[石川亮],null,第175回日本金属学会講演大会,null,2024-09-18,null,null,true,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,49864208,"High Spatiotemporal Resolution STEM Imaging at High Temperature","High Spatiotemporal Resolution STEM Imaging at High Temperature","[R. Ishikawa,T. Futazuka,Y. Jimbo,K. Kawahara,N. Shibata,Y. Ikuhara]","[R. Ishikawa,T. Futazuka,Y. Jimbo,K. Kawahara,N. Shibata,Y. Ikuhara]","Microscopy and Microanalysis 2024",null,2024-07-30,null,null,true,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,46222236,"Atomistic defect analysis by atomic-resolution electron microscopy","Atomistic defect analysis by atomic-resolution electron microscopy","[Ryo Ishikawa]","[Ryo Ishikawa]","7th International Symposium on Frontiers in Materials Science","7th International Symposium on Frontiers in Materials Science",2024-01-22,null,null,true,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,46222201,点欠陥構造解析に向けた電子顕微鏡法の開発と応用,null,[石川亮],null,第6回固体化学フォーラム,null,2024-01-16,null,null,true,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,43815674,走査透過型電子顕微鏡法,null,"[石川 亮]",null,第38回分析電顕討論会,null,2023-11-30,null,null,true,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,43815667,"Three dimensional imaging by STEM depth sectioning","Three dimensional imaging by STEM depth sectioning","[Ryo Ishikawa]",null,"Chinese Electron Microscopy Society",null,2023-10-28,null,null,true,null,null,null,null,null,null,null,null,null,null,null,null,null,false,disclosed
