published_papers
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,DOI,ISSN,eISSN,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,48421604,null,"Highly Reversible Conversion‐Type CoSn2 Cathode for Fluoride‐Ion Batteries",null,"[Shun Sasano,Ryo Ishikawa,Kazuaki Kawahara,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,null,2025-01,null,Small,null,null,null,null,null,true,null,scientific_journal,null,null,10.1002/smll.202408023,null,null,null,null,false,disclosed
insert,merge,null,48440839,null,"La1−xSrxF3−x: A Solid-State Electrolyte for Fluoride Ion Battery with High Ionic Conductivity and Wide Electrochemical Potential Window",null,"[Kazuaki Kawahara,Ryo Ishikawa,Shun Sasano,Naoya Shibata,Yuichi Ikuhara]",null,null,null,null,null,2024-11-01,null,"Journal of The Electrochemical Society",null,null,null,null,null,true,null,scientific_journal,null,null,10.1149/1945-7111/ad8d10,null,null,null,null,false,disclosed
insert,merge,null,47877107,null,"New Poisson denoising method for pulse-count STEM imaging",null,"[Taichi Kusumi,Shun Katakami,Ryo Ishikawa,Kazuaki Kawahara,Tiarnan Mullarkey,Julie Marie Bekkevold,Jonathan J.P. Peters,Lewys Jones,Naoya Shibata,Masato Okada]",[corresponding],null,null,null,"Elsevier BV",2024-10,null,Ultramicroscopy,264,null,113996,113996,null,true,null,scientific_journal,null,null,10.1016/j.ultramic.2024.113996,0304-3991,null,null,null,false,disclosed
insert,merge,null,47877139,null,"Ultra-fast Digital DPC Yielding High Spatio-temporal Resolution for Low-Dose Phase Characterization",null,"[Julie Marie Bekkevold,Jonathan J P Peters,Ryo Ishikawa,Naoya Shibata,Lewys Jones]",null,null,"Abstract

 In the scanning transmission electron microscope, both phase imaging of beam-sensitive materials and characterization of a material’s functional properties using in situ experiments are becoming more widely available. As the practicable scan speed of 4D-STEM detectors improves, so too does the temporal resolution achievable for both differential phase contrast (DPC) and ptychography. However, the read-out burden of pixelated detectors, and the size of the gigabyte to terabyte sized data sets, remain a challenge for both temporal resolution and their practical adoption. In this work, we combine ultra-fast scan coils and detector signal digitization to show that a high-fidelity DPC phase reconstruction can be achieved from an annular segmented detector. Unlike conventional analog data phase reconstructions from digitized DPC-segment images yield reliable data, even at the fastest scan speeds. Finally, dose fractionation by fast scanning and multi-framing allows for postprocess binning of frame streams to balance signal-to-noise ratio and temporal resolution for low-dose phase imaging for in situ experiments.",null,"Oxford University Press (OUP)",2024-09-13,null,"Microscopy and Microanalysis",null,null,null,null,null,true,null,scientific_journal,null,null,10.1093/mam/ozae082,1431-9276,1435-8115,https://academic.oup.com/mam/advance-article-pdf/doi/10.1093/mam/ozae082/59107381/ozae082.pdf,null,false,disclosed
insert,merge,null,47877146,null,"Real‐Space Tilting Method for Atomic Resolution STEM Imaging of Nanocrystalline Materials",null,"[Jiake Wei,Zhangze Xu,Wenjie Shen,Bin Feng,Ryo Ishikawa,Naoya Shibata,Yuichi Ikuhara,Xuedong Bai]",null,null,"Abstract

Atomic‐resolution scanning transmission electron microscopy (STEM) characterization requires precise tilting of the specimen to a high symmetric zone axis, which is usually processed in reciprocal space by following the diffraction patterns. However, for small‐sized nanocrystalline materials, their diffraction patterns are often too faint to guide the tilting process. Here, a simple and effective tilting method is developed based on the diffraction contrast change of the shadow image in the Ronchigram. The misorientation angle of the specimen can be calculated and tilted to the zone axis based on the position of the shadow image with lowest intensity. This method requires no prior knowledge of the sample and the maximum misorientation angle that can be corrected is &gt;±6.9° with sub‐mrad accuracy. It operates in real space, without recording the diffraction patterns of the specimens, making it particularly effective for nanocrystalline materials. Combined with the scripting to control the microscope, the sample can be automatically tilted to the zone axis under low dose conditions (&lt;0.17 e<sup>−</sup> Å<sup>−</sup><sup>2</sup> s<sup>−1</sup>), facilitating the imaging of beam sensitive materials such as zeolites or metal‐organic frameworks. This automated tilting method can significantly contribute to the atomic‐scale characterization of the nanocrystalline materials by STEM imaging.",null,Wiley,2024-09-09,null,"Small Methods",null,null,null,null,null,true,null,scientific_journal,null,null,10.1002/smtd.202401023,2366-9608,2366-9608,https://onlinelibrary.wiley.com/doi/pdf/10.1002/smtd.202401023,null,false,disclosed
insert,merge,null,47669958,null,"Atomic-Scale and Nanoscale Structural Changes in LiCoO<sub>2</sub> Due to Irreversible Delithiation Accompanied by Oxygen Release",null,"[Kei Nakayama,Shunsuke Kobayashi,Ryo Ishikawa,Akihide Kuwabara,Yuichi Ikuhara]",null,null,null,null,"American Chemical Society (ACS)",2024-09-05,null,"Chemistry of Materials",null,null,null,null,null,true,null,scientific_journal,null,null,10.1021/acs.chemmater.4c02084,0897-4756,1520-5002,https://pubs.acs.org/doi/pdf/10.1021/acs.chemmater.4c02084,null,false,disclosed
insert,merge,null,47877197,null,"On the temporal transfer function in STEM imaging from finite detector response time",null,"[Jonathan J.P. Peters,Tiarnan Mullarkey,Julie Marie Bekkevold,Matthew Geever,Ryo Ishikawa,Naoya Shibata,Lewys Jones]",null,null,null,null,"Elsevier BV",2024-09,null,Ultramicroscopy,null,null,114056,114056,null,true,null,scientific_journal,null,null,10.1016/j.ultramic.2024.114056,0304-3991,null,null,null,false,disclosed
insert,merge,null,47877137,null,"Modulating the cross-plane thermal conductivity of graphite by MnCl<sub>2</sub> and FeCl<sub>3</sub> co-intercalation",null,"[Harsh Chandra,Shun Sasano,Bin Xu,Ryo Ishikawa,Suguru Noda,Naoya Shibata,Junichiro Shiomi]",null,null,"Demonstrating extremely large reduction of cross-plane thermal conductivity of graphite by co-intercalating MnCl<sub>2</sub> and FeCl<sub>3</sub> and identifying the mechanism through its thickness and temperature dependences.",null,"Royal Society of Chemistry (RSC)",2024-08-12,null,"Journal of Materials Chemistry A",12,35,23848,23858,null,true,null,scientific_journal,null,null,10.1039/d4ta03644a,2050-7488,2050-7496,http://pubs.rsc.org/en/content/articlepdf/2024/TA/D4TA03644A,null,false,disclosed
insert,merge,null,47473811,null,"Synthesis of a Gold–Silver Alloy Nanocluster within a Ring‐Shaped Polyoxometalate and Its Photocatalytic Property",null,"[Minori Kamachi,Kentaro Yonesato,Takashi Okazaki,Daiki Yanai,Soichi Kikkawa,Seiji Yamazoe,Ryo Ishikawa,Naoya Shibata,Yuichi Ikuhara,Kazuya Yamaguchi,Kosuke Suzuki]",null,null,"Alloying is an effective method for modulating metal nanoclusters to enrich their structural diversity and physicochemical properties. Recent investigations have demonstrated that polyoxometalates (POMs) can act as effective multidentate ligands for silver (Ag) nanoclusters to endow them with synergistic properties, reactivity, catalytic properties, and stability. However, the application of POMs as ligands has been confined predominantly to monometallic nanoclusters. Herein, we report a synthetic method for fabricating surface‐exposed gold (Au)–Ag alloy nanoclusters within a ring‐shaped POM ([P8W48O184]40−). Reacting an Ag nanocluster stabilized by the ring‐shaped POM with Au ions (Au+) was found to substitute several Ag atoms at the core of the nanocluster with Au atoms. The resultant {Au8Ag26} alloy nanocluster demonstrated superior photocatalytic activity and stability compared to the pristine Ag nanocluster in the aerobic oxidation of α‐terpinene under visible‐light irradiation. These findings provide fundamental insights into the formation and catalytic properties of POM‐stabilized alloy nanoclusters and advance exploration into the synthesis and applications of diverse metal nanoclusters.",null,Wiley,2024-07-10,null,"Angewandte Chemie International Edition",null,null,null,null,null,true,null,scientific_journal,null,null,10.1002/anie.202408358,1433-7851,1521-3773,https://onlinelibrary.wiley.com/doi/pdf/10.1002/anie.202408358,null,false,disclosed
insert,merge,null,47877113,null,"Total third-degree variation for noise reduction in atomic-resolution STEM images",null,"[Kazuaki Kawahara,Ryo Ishikawa,Shun Sasano,Naoya Shibata,Yuichi Ikuhara]",null,null,"Abstract

 Scanning Transmission Electron Microscopy (STEM) enables direct determination of atomic arrangements in materials and devices. However, materials such as battery components are weak for electron beam irradiation, and low electron doses are required to prevent beam-induced damages. Noise removal is thus essential for precise structural analysis of electron-beam-sensitive materials at atomic resolution. Total square variation (TSV) regularization is an algorithm that exhibits high noise removal performance. However, the use of the TSV regularization term leads to significant image blurring and intensity reduction. To address these problems, we here propose a new approach adopting L2 norm regularization based on higher-order total variation. An atomic-resolution STEM image can be approximated as a set of smooth curves represented by quadratic functions. Since the third-degree derivative of any quadratic function is 0, total third-degree variation (TTDV) is suitable for a regularization term. The application of TTDV for denoising the atomic-resolution STEM image of CaF2 observed along the [001] zone axis is shown, where we can clearly see the Ca and F atomic columns without compromising image quality.",null,"Oxford University Press (OUP)",2024-07-02,null,Microscopy,null,null,null,null,null,true,null,scientific_journal,null,null,10.1093/jmicro/dfae031,2050-5698,2050-5701,https://academic.oup.com/jmicro/advance-article-pdf/doi/10.1093/jmicro/dfae031/58498875/dfae031.pdf,null,false,disclosed
