research_projects
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),担当研究者(日本語),担当研究者(英語),提供機関(日本語),提供機関(英語),制度名(日本語),制度名(英語),研究種目(日本語),研究種目(英語),研究機関名(日本語),研究機関名(英語),研究期間(From),研究期間(To),担当区分,配分額(総額),配分額(直接経費),配分額(間接経費),研究概要(日本語),研究概要(英語),資金種別,国際共同研究,課題番号,URL,主要な業績かどうか,公開の有無
insert,merge,null,32225414,３次元・ダイナミック原子分解能電子顕微鏡法の開発,null,"[石川 亮]",null,科学技術振興機構,"Japan Science and Technology Agency",創発的研究支援事業,"Fusion Oriented Research for Disruptive Science and Technology",null,null,東京大学,"The University of Tokyo",2022-04,2029-03,principal_investigator,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,46222063,超収束角顕微鏡法の開発と格子欠陥材料への応用,null,"[石川 亮]",null,日本学術振興会,null,科学研究費助成事業,null,基盤研究(A),null,東京大学,null,2024-04-01,2027-03-31,null,50310000,38700000,11610000,null,null,null,null,24H00373,null,false,disclosed
insert,merge,null,38973949,触媒ナノ界面の３次元原子電場構造解析,"Three dimensional electric-field imaging at catalytic-interface","[石川 亮]",null,日本学術振興会,"Japan Society for the Promotion of Science","科学研究費助成事業 基盤研究(B)","Grants-in-Aid for Scientific Research Grant-in-Aid for Scientific Research (B)",基盤研究(B),"Grant-in-Aid for Scientific Research (B)",東京大学,"The University of Tokyo",2021-04-01,2024-03-31,null,17420000,13400000,4020000,"酸化物基板に担持された貴金属ナノ粒子は代表的な不均一触媒であり、有害なガスの非毒化や排ガスの処理に広く利用されている。これまでに、新たな担持材料の探索および単原子レベルで貴金属を分散するなどの技術開発の積み重ねにより、触媒の安定性、特性および適応範囲は大きく改善された。しかし、触媒活性点（原子サイト）や触媒発現・劣化機構などの基礎的な問題については未だ不明な点が多く残されている。触媒材料の新展開にはこれらの問題に対する本質的な理解が必要不可欠である。劣化機構の中でも、70年代に提案された強い金属・担体相互作用（SMSI: Strong Metal Support Interaction）が現象としては広く受け入れられているものの、原子レベルでの劣化機構としては、議論の余地が残されている。今年度は代表的なTiO2/Pt系に注目し、還元雰囲気での加熱による触媒劣化の原因を探求した。
<BR>
電子顕微鏡中で加熱を行い、白金ナノ粒子の粒径および積層構造を原子分解能観察により解析したところ、温度の上昇に伴い積層構造が変化することが明らかとなった。また、粒径は単に大きくなるだけではなく、粒径の分散も大きくなることが明らかとなった。積層構造との関連があり、格子整合度の低い高次の積層構造の場合は粒成長が抑制される傾向にある。また、高温領域（700℃）では、基板に含まれるTiとの合金化が進み、Pt-Ti合金ナノ粒子の形成が観察された。これらが、触媒劣化の主な原因と考えられる。",null,null,null,21H01614,null,false,disclosed
insert,merge,null,31281775,界面機能コア解析,"Nanoscale Interface Characterization","[柴田 直哉,山本 剛久,石川 亮,馮 斌,栃木 栄太,関 岳人]",null,日本学術振興会,"Japan Society for the Promotion of Science","科学研究費助成事業 新学術領域研究(研究領域提案型)","Grants-in-Aid for Scientific Research Grant-in-Aid for Scientific Research on Innovative Areas (Research in a proposed research area)",新学術領域研究(研究領域提案型),"Grant-in-Aid for Scientific Research on Innovative Areas (Research in a proposed research area)",東京大学,"The University of Tokyo",2019-06-28,2024-03-31,null,210210000,161700000,48510000,"当該年度は下記の成果が得られた．
①超高分解能磁場観察：本年度は原子分解能磁場フリー電子顕微鏡を用いて原子レベル磁場観察手法の開発に重点的に取り組んだ．ヘマタイト(Fe2O3)結晶から得られた原子分解能微分位相コントラスト(DPC)-STEM像に対して、原子電場と原子磁場を分離する画像フィルターを施すことで磁場信号のみを抽出し、原子磁場の実空間観察に成功した．
②原子分解能STEMによる表面機能コアの3次元構造解析：本年度は深さ断層STEM法と統計的解析手法を高度に融合することで、SrTiO3表面において0.9Åの深さ分解能を実現した.さらにこの手法を用いてSrTiO3表面における空孔、吸着原子とキンクなどの原子スケール欠陥の観察に成功し、表面機能コア原子構造の3次元再構成に成功した.
③Al2O3粒界移動メカニズムの解析：本年度は昨年度に開発した原子分解能粒界移動観察法を様々な方位のAl2O3粒界機能コアに適用し、粒界移動の原子スケール解析を行った。その結果、粒界移動は粒界コアの局所原子構造に強く依存しており、粒界コアの構造ユニットが逐次変化しながら移動する、または界面欠陥が形成されながら移動することが明らかになった．
④他班との機能コア材料連携研究: 本年度も構造用セラミックスや高機能薄膜材料を始めとする多様な材料における機能コア解析を他班と密接に連携して遂行した．",null,null,null,19H05788,null,false,disclosed
insert,merge,null,31281774,金属酸化物/貴金属ナノ粒子系における触媒活性点および劣化現象の解明,"Catalytic degradation mechanism of noble metal nanoparticles on metal oxides","[石川 亮]",null,日本学術振興会,"Japan Society for the Promotion of Science","科学研究費助成事業 挑戦的研究(萌芽)","Grants-in-Aid for Scientific Research Grant-in-Aid for Challenging Research (Exploratory)",挑戦的研究(萌芽),"Grant-in-Aid for Challenging Research (Exploratory)",東京大学,"The University of Tokyo",2020-07-30,2023-03-31,null,6370000,4900000,1470000,今年度はTiO2(110)基板に担持した白金ナノ粒子に注目し、高真空中での加熱雰囲気下での原子構造変化を追跡した。温度の上昇に伴い、白金ナノ粒子のサイズ分布や結晶性に大きな変化が観察された。これらを統計的に明らかにするため、各温度において、数百以上のナノ粒子の原子分解能像（走査透過型電子顕微鏡）を取得し、形状および積層構造の解析を行った。加熱温度の上昇に伴い平均粒径の成長が観察されたが、同時に粒径分布の分散も大きくなる傾向が観察された。これは、小さな粒子が大きな粒子に統合されて成長するオストワルト成長のみでは説明出来ない可能性を示唆している。また、TiO2(110)基板との結晶方位関係では、強い温度依存性が観察された。400度以下では、白金ナノ粒子の結晶性は低く、特定の方位関係は観察されなかった。しかし、400度以上に加熱することにより、白金ナノ粒子は成長し、大部分が(100)積層を示すことが明らかとなった。500度以上の高温側では、TiO2(110)基板と整合する方向へナノ粒子は面内に回転した。さらに、(112)や(111)積層などの高次な積層構造が観察された。これは、TiO2(110)とPtナノ粒子の整合性が低いことが原因と考えられる。これに加え、基板に含まれるTiと白金の合金化、合金ナノ粒子のTiO2基板への侵入が観察された。一方で、ナノ粒子表面へのTiOx薄膜形成は見られなかった。したがって、真空加熱に伴う触媒劣化の主な原因としては、ナノ粒子の合金化およびTiO2基板への侵入と考えられる。,null,null,null,20K21073,null,false,disclosed
insert,merge,null,31281778,原子・イオンダイナミクスの超高分解能直接観察に基づく新材料創成,"Atom-by-atom imaging of ion dynamics in nano-structures for materials","[幾原 雄一,柴田 直哉,中村 篤智,石川 亮,馮 斌,栃木 栄太,溝口 照康,関 岳人,松永 克志]","[Ikuhara Yuichi]",日本学術振興会,"Japan Society for the Promotion of Science","科学研究費助成事業 特別推進研究","Grants-in-Aid for Scientific Research Grant-in-Aid for Specially Promoted Research",特別推進研究,"Grant-in-Aid for Specially Promoted Research",東京大学,"The University of Tokyo",2017-04-25,2022-03-31,null,590200000,454000000,136200000,"本年度の主たる研究成果は下記の通りである。
1. 電子線高速走査ユニットの設計：走査透過型電子顕微鏡(STEM)の時間分解能を向上させるため、電子線走査ユニットの設計を行った。この際、512x512ピクセルの画像を30フレーム/秒以上で取得することを要求条件として走査速度とフライバックタイムを試算したところ、走査速度は100nm/pix以下、フライバックタイムは10us/pix前後にする必要があることがわかった。この試算を参考に試作機を作製し性能評価を行った結果、32フレーム/秒の時間分解能を達成した。
2. 精密試料作製法の検討：本年度に導入した集束イオンビーム式試料加工装置を用い、各種その場観察用環境制御デバイス上に試料片を固定および薄膜化する方法を模索した。荷重負荷デバイスを用いた実験においては、試料は十分に薄膜化されており、原子分解能を達成可能であることが分った。
3. 粒界・界面の原子構造解析：酸化物を中心とした材料系において粒界・界面の原子構造の解析を行った。特にイットリウム安定化ジルコニア(YSZ)の粒界構造および粒界組成の解析において顕著な成果が得られた。エネルギー分散型X線分析(EDS)STEM法によりΣ5(210)、Σ5(310)、Σ9、Σ13粒界の局所組成を解析したところ、Σ5(210)粒界においてはバルク部分と比較し組成の違いがほぼ見られないのに対し、それ以外の粒界においてはZr4+が減少し、Y3+およびO2+が濃化していることが明らかとなった。Y3+イオンはZr2+サイトを置換し正味-1価のイオンとして存在していると考えられるため、粒界には負のイオンが濃化していると解される。このことより、Σ5(210)粒界は電気的に中性、その他の粒界は正に帯電していると考えられる。本結果は粒界帯電現象の粒界方位依存性を実証したものであり、学術的に極めて重要な成果である。","In this study, we have evolved advanced atomic-resolution S/TEM into “the direct observation method for dynamics of atoms and ions”. The newly developed fast electron beam scanning/detecting systems and environmental control holders enabled us to reveal atomic-scale materials phenomena unknown so far, such as dislocation behavior, crack propagation, atomic diffusion, and grain boundary migration. These results led the elucidation of the correlation between nanostructures and functional properties. The primary achievement of the present project is to establish the nanostructure design methods and the construction of the fundamental principles for materials development.",null,null,17H06094,https://kaken.nii.ac.jp/file/KAKENHI-PROJECT-17H06094/17H06094_saitaku_gaiyo_ja.pdf,false,disclosed
insert,merge,null,31998368,オンライン自動収差補正による3次元電子顕微鏡法の開発,null,null,null,科学技術振興機構,null,さきがけ,null,null,null,null,null,2018-10,2022-03,principal_investigator,null,null,null,null,null,null,null,null,null,false,disclosed
insert,merge,null,31281776,高時間分解能STEM法に基づく複合点欠陥構造解析,"Complex point defect analysis by high temporal resolution STEM","[石川 亮]","[Ishikawa Ryo]",日本学術振興会,"Japan Society for the Promotion of Science","科学研究費助成事業 基盤研究(B)","Grants-in-Aid for Scientific Research Grant-in-Aid for Scientific Research (B)",基盤研究(B),"Grant-in-Aid for Scientific Research (B)",東京大学,"The University of Tokyo",2018-04-01,2021-03-31,null,17420000,13400000,4020000,"本研究では，従来の高い空間分解能（原子分解能）を保持しつつ，時間分解能を高めることにより，原子空孔などを含む複合点欠陥の空間分布や欠陥構造を明らかにすることを目的とする．本年度は清浄な試料を作成する手順，ハードウェアの制御および得られた実験データを解析するためのソフトウェアの開発を中心に行った．電子顕微鏡観察用の試料を作製する過程では，イオンによる研磨を通常用いるが，最表面はアモルファスなどへ構造が改変されることが良く知られている．そこで，電子顕微鏡用に薄片化した試料を600 - 1000度の高温で熱処理することにより平坦かつ清浄な試料の準備が可能となる方法を確立した．また，得られた最表面構造を明らかにするため，本研究課題では現有するチャンバーを真空中で加熱しながら高速電子回折の取得可能となるよう加熱装置を導入した．これにより，平坦な表面を形成させる適切な加熱条件を見出した．また，高い時間分解能を実現するために，手動ではなく自動で時系列順に画像を取得するためのソフトウェアの開発も行った．さらに，半自動でドーパントの動きをトレースする解析ソフトウェアの開発も行った．実験像には多数のドーパントが同一視野内に存在しているが，これらの位置と時間の情報を抽出することにより，統計的な解析が可能になりつつある．今後は，統計的な解析手法を用いた情報抽出と材料中の点欠陥の関連性を明らかにする．また，得られた結果を取りまとめ，論文および国内外の学会にて発表を行う．","We have successfully developed a new high temporal-resolution scanning transmission electron microscopy (STEM). The developed scan coils have 200 times smaller inductances than that in the previous generation, and we can acquire 25 frames of atomic-resolution STEM images as per second (512×512 pixels), where the acquisition time is 83 nano seconds per pixel. Utilizing such high temporal- resolution, it becomes possible to directly observe dynamics of point defects within solids or on the surface. The present study could open the way to perform dynamic STEM observations at atomic-scale.",null,null,18H01823,null,false,disclosed
insert,merge,null,31281777,微分位相顕微法を用いた触媒反応過程の原子分解能観察,"Direct imaging of catalytic process by differential phase contrast","[石川 亮]","[Ishikawa Ryo]",日本学術振興会,"Japan Society for the Promotion of Science","科学研究費助成事業 挑戦的研究(萌芽)","Grants-in-Aid for Scientific Research Grant-in-Aid for Challenging Research (Exploratory)",挑戦的研究(萌芽),"Grant-in-Aid for Challenging Research (Exploratory)",東京大学,"The University of Tokyo",2017-06-30,2020-03-31,null,6240000,4800000,1440000,"本研究では，微分位相コントラスト法を用いてグラフェンエッジと不純物単原子間の化学反応を原子分解能で観察し，不純物原子を介した触媒反応によるグラフェンの分解・成長過程を明らかにすることを目的としている．昨年度に引き続き，低加速電圧（80 kV）での電子顕微鏡を用いて，単層あるいは複層グラフェンの原子分解能観察を行った．単層グラフェンエッジは加熱した状態でも，電場観察を高い精度で実施するには不安定であったため，電子線による照射損傷を用いて，２層グラフェンにホールを形成させた．形成したグラフェンエッジ領域を観察したところ，エッジ領域に属する炭素原子は欠陥のないグラフェン領域の炭素原子よりも強い電場を示すことが分かった．エッジ領域ではダングリングボンドが形成されており，配位数が少ないため（通常は３配位），電場強度が局所的に増強されていることが明らかとなった．また，単層グラフェン中における代表的な不純物元素であるシリコン単原子の周囲に形成された原子電場についても観察を行った．シリコン原子は単層グラフェン中では，３配位（単原子空孔）および４配位（二原子空孔）が存在するが，これらの配位数と対称性を反映したシリコン原子電場が局所的に形成されていることが明らかとなった．これはシリコンー炭素原子間に形成されている共有結合を反映していると考えられる．したがって，電場を観察することは間接的ではあるものの，化学結合に関する情報が得られることが明らかとなった．得られた研究成果は論文および国内外の学会において発表した．","We have successfully observed the atomistic electric fields of single carbon atoms in a monolayer graphene by using our segmented-type detector in the scanning transmission electron microscopy. We have also identified that the atomistic electric fields of single Si dopants in a monolayer graphene is strongly depending on the local symmetry at the located atomic sites. Since dangling bonds are formed at the graphene edge, electric fields are enhanced towards a vacuum that enables to capture cations at the graphene edge. On the basis of our direct observations of atomistic electric fields, we conclude that nano-scale atomistic defects play important roles to enhance the catalytic reactions.",null,null,17K18974,null,false,disclosed
insert,merge,null,31281779,"原子分解能DPC STEMに基づく実空間電荷密度マッピング法の開発と材料界面解析","Development of real space charge density mapping method using atomic-resolution DPC STEM and its application to material interfaces","[柴田 直哉,石川 亮]","[Shibata Naoya]",日本学術振興会,"Japan Society for the Promotion of Science","科学研究費助成事業 基盤研究(A)","Grants-in-Aid for Scientific Research Grant-in-Aid for Scientific Research (A)",基盤研究(A),"Grant-in-Aid for Scientific Research (A)",東京大学,"The University of Tokyo",2017-04-01,2020-03-31,null,43420000,33400000,10020000,"本研究では、申請者らが近年開発した原子分解能DPC STEM法をベースとして、材料局所領域の電荷密度分布を原子レベルで実空間マッピングするための新たな電子顕微鏡法を開発する。更に、この手法を無機材料界面構造解析に応用することで、異種結晶間の界面形成メカニズムを原子・電子スケールから本質的に明らかにすることを最終的な目標としている。
本年度は、原子分解能DPC STEMの定量観察により、原子電場を定量的に可視化し、その情報から原子スケールの電荷密度分布の直接観察が可能かどうか、実験及び理論計算を用いて検証した。その前段階として、ノイズを加味した解析を行い、ノイズを取り入れた像理論を構築し、原子分解能DPC STEM法と他の手法を比較し、その優位性の検証に成功した。モデル試料としてGaN結晶を用いて、その原子電場像から電荷密度分布像を形成した。その結果、原子中心の正電荷を持つ原子核と負電荷をもつ電子雲の実空間観察に成功した。結合を担う電子に関しても原理的には観察が可能になると考えられるが、現状では分解能、装置安定性、検出器感度などの問題で今後の課題になると考えられる。更に、DCT法を用いたポテンシャル再生なども可能になり、試料が十分薄い条件では、原子レベルのポテンシャル、電荷密度分布観察が可能であると考えられる。その真価を検証するため、グラフェンの原子電場直接観察を試みた。その結果、単原子レイヤーであるグラフェンの原子周囲の電場分布を直接観察することに成功し、その空間分布、強度が原子の配位環境、すなわち結合と密接関連すること示唆された。更に、酸化物の清浄表面に貴金属ナノクラスターを形成する技術を構築し、モデル的な金属微粒子/セラミックス界面の作製に成功した。","Based on the atomic resolution DPC STEM method developed by the applicants, we develop a new electron microscopy method for real-space mapping of the charge density distribution in the local region of materials at the atomic level. Furthermore, by applying this method to the analysis of material interfaces, we have conducted research aiming at clarifying the interface mechanisms from the atomic and electronic scales. First, the quantitative measurement method of atomic electric field by the atomic resolution DPC STEM was established, and the real space charge density mapping method was developed and applied. As a result, (1) succeeded in directly observing the total charge density distribution within atoms in GaN, (2) succeeded in the direct observation of atomic electric field in graphene and (3) in GaN-based semiconductor hetero interfaces. In addition, (4) the research results showing the capability of DPC STEM for ultra-high resolution magnetic field observation were obtained.",null,null,17H01316,null,false,disclosed
